Weighted Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD/tonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,crop,crop category,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TJK,Potatoes,Seasonal crops,89.1,89.1,89.1,89.1,89.1,89.1,89.1,142.9,175.1,188.1,121.2,205,384.1,219.6,192.4,289.7,388.2,542.3,316.6,316.6,226.4,226.4,201.5,241.6,162.9,115,115
TJK,Rice,Seasonal crops,319.3,319.3,319.3,319.3,319.3,319.3,319.3,387.8,583.6,544.5,474,647.5,816.8,269.5,426.4,410.4,456.7,650.7,844.3,844.3,448.3,448.3,319.4,558.8,462.8,438.7,438.7
TJK,Sugar beet,Seasonal crops,29.1,29.1,29.1,29.1,29.1,20.1,21,21.9,25.6,29.7,24.5,27.8,33.6,36.2,70.55,104.9,97.9,49.8,52.4,59.9,54,45,45.8,45.3,46.5,45.9,45.9
TJK,Vegetables,Seasonal crops,90,90,90,90,90,90,90,155.83,87.53,130.95,98.34,121.82,192.84,227.62,228.71,293.65,359.72,232.22,328.64,328.64,154.19,154.19,158.31,211.44,23.25,40.55,40.55
TJK,Watermelons and squash,Seasonal crops,69.1,69.1,69.1,69.1,69.1,69.1,69.1,87.21,77.91,94.51,106.3,187.14,92.59,95.4,95.4,83.12,76.89,87.53,73.8,73.8,0,0,0,42.38,46.39,43.95,43.95
TJK,Wheat,Seasonal crops,104.3,91.3,116.8,96,72.2,50.5,69,77.2,63.1,80.7,107.1,97,97.2,136.9,224.3,174,148.1,197.8,180.5,207.1,169,150.3,105.1,117.4,116.3,160.9,189.2
TUR,Apples,Perennial crops,532.6,532.6,532.6,532.6,470.3,480.8,711.5,826.9,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7,807.7
TUR,Barley,Seasonal crops,84,65.3,80.4,64.5,52.3,35.3,45.1,53.6,46.3,45.8,63,69.9,73,87.3,149,125.3,92.3,116,125,158.5,127.2,109.5,76.6,101.8,100.8,122.9,132.9
TUR,Corn,Seasonal crops,202.1,132.2,101.6,109.8,84.8,58.5,65,72.05,70.84,68.17,91.06,103.45,107.45,123.04,176.63,157.67,152.83,184.69,193.85,200.52,163.4,155.39,114.09,114.77,113.58,152.96,177.24
TUR,Cotton,Seasonal crops,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,501.8,352.9,672.7,631.9,514.3,518.6,444.5,410.6,371.5,453.7,503.8,503.8,503.8
TUR,Grapes,Perennial crops,614,614,614,614,571.4,569.2,649,615.6,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8,599.8
TUR,Oil seeds and pulses,Seasonal crops,134.03,154.07,132.03,112.82,145.42,95.48,75.58,88.43,122.5,113.32,137.71,127.69,157.69,142.05,212.44,195.63,180.7,220.91,236.79,390.06,303.03,258.34,217.54,247.03,245.29,269.32,360.7
TUR,Other crops,Seasonal crops,528.3,528.3,528.3,528.3,634.54,761.95,762.52,489.77,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65,517.65
TUR,Other grains,Seasonal crops,62.12,58.68,63.15,55.47,51.83,29.64,41.69,41.39,43.79,36.79,44.93,42.27,98.17,103.96,156.91,137.93,129.77,119.77,128.45,168.08,142.32,82.05,71.13,119.08,113.63,136.47,132.54
TUR,Other orchards,Perennial crops,0,2.84,5.32,10.54,26.7,49.28,38.15,35.87,46.36,47.79,52.12,59.46,68.66,177.66,54,77.17,98.8,103.9,123.57,97.09,110.42,221.09,309.82,143.33,382.04,237.16,276.8
TUR,Potatoes,Seasonal crops,377.9,377.9,377.9,377.9,368.9,546.9,515.4,596.9,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7,762.7
TUR,Rice,Seasonal crops,763.1,763.1,763.1,763.1,566.3,1087.7,1163.8,1618.7,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1,1547.1
TUR,Sugar beet,Seasonal crops,85.3,81.9,46.2,35,34,21.7,18,17.6,18.6,18.7,23.9,29.2,36.2,56.6,62.3,54.4,64,70.5,67.3,72.1,40.8,41,34.6,44.8,33.5,21.1,23.1
TUR,Vegetables,Seasonal crops,399.2,399.2,399.2,399.2,428.49,412.2,346.66,638.47,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54,581.54
TUR,Watermelons and squash,Seasonal crops,204.34,204.34,204.34,204.34,241.98,292.25,349.86,314.38,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33,287.33
TUR,Wheat,Seasonal crops,104.3,91.3,116.8,96,72.2,50.5,69,77.2,63.1,80.7,107.1,97,97.2,136.9,224.3,174,148.1,197.8,180.5,207.1,169,150.3,105.1,117.4,116.3,160.9,189.2
UZB,Apples,Perennial crops,205.6,159,104,127.6,151.8,105.5,98.8,73.9,84.4,91.8,126.4,149,167.8,163.3,465,335.3,376.3,494.2,505.9,635.3,702,569.2,366.4,397.1,420.8,512.7,462.2
